train,test,nll,pos,rot
-325.0648262147951,-342.658719433174,-325.54187863372096,4.186860120348405,0.055795468043449314
-325.0452542140769,-344.5888669210438,-325.52617982376455,4.22613784160082,0.0557294353669466
-324.87620534396194,-340.73507079568105,-325.3501998546512,4.157557628792807,0.0558474266598391
-325.59871444236467,-343.2108047475535,-326.0744820528252,4.177485670951614,0.05539727678825689
-325.06643832812574,-343.5476881425837,-325.5430383016897,4.183607578659421,0.0557640373360279
-325.55213713594804,-343.6554937423878,-326.03440750476926,4.242234720924693,0.055458513716625614
-325.5568423795492,-341.4291281753718,-326.03324854651163,4.184617920778592,0.055438814034988716
-325.9249494241844,-344.65792186314246,-326.3970720158067,4.144519903590643,0.055234053193829784
-325.6663265847212,-346.48355320710226,-326.13873220044513,4.143876499935203,0.055462047197791034
-325.919244750134,-343.5605208630079,-326.39315015216204,4.1602312974431195,0.05548305367661077
-326.0413080716872,-342.76756646898787,-326.5144199105196,4.153370556452472,0.05533903352049894
-326.2327476159555,-343.4634333020578,-326.7071199638899,4.166696360718682,0.055281085763559785
-326.93586868570054,-345.2479752403601,-327.40335650776706,4.102705233845764,0.05477057146125062
-325.87570773495884,-340.5769863547909,-326.35045818949857,4.167175519336218,0.05555639987768129
-325.97555313183346,-345.3821825381011,-326.4508787643078,4.174148524024708,0.05545291781078938
-325.9921078792536,-345.4599760007351,-326.46840082212935,4.183665849929525,0.05538774593624958
-326.8939678691931,-342.35425511920965,-327.36657572901527,4.151450121828461,0.05500705808747646
-326.090810360209,-343.8863970817676,-326.56262348973473,4.139872971200698,0.0553683292900407
-325.84847315062365,-343.8747610631116,-326.32166095112643,4.152325430767533,0.05553371233995571
-326.75232054341467,-344.8540339760108,-327.22707420171696,4.1698615951682045,0.05524318656602571
